"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mecom",2.67027599319773e-28,0.274770808600637,0.139,0.477,4.92479001425457e-24,"6","Mecom"
"Ddx17",1.71151513574143e-27,0.434452149989097,0.238,0.665,3.15654736484793e-23,"6","Ddx17"
"Adamts10",3.72273285813434e-27,0.363091798350846,0.131,0.447,6.86583621025717e-23,"6","Adamts10"
"Brwd1",8.99492012503149e-27,0.300642517001396,0.118,0.425,1.65893311865956e-22,"6","Brwd1"
"Chd2",2.26332027411177e-26,0.258738732684827,0.139,0.459,4.17424158154434e-22,"6","Chd2"
"Rbm5",6.06783666487028e-26,0.411509376727456,0.215,0.607,1.11909111610203e-21,"6","Rbm5"
"Whsc11",1.31345688050914e-25,0.26625944208962,0.116,0.409,2.42240852472301e-21,"6","Whsc1"
"Son",1.32432753814411e-25,0.287352506559291,0.369,0.93,2.44245727859918e-21,"6","Son"
"Bhlhe40",1.68232603371854e-25,0.253977930260308,0.108,0.393,3.1027139039871e-21,"6","Bhlhe40"
"Enah",5.81144154952956e-25,0.318491291945579,0.135,0.446,1.07180416497974e-20,"6","Enah"
"mt-Nd5",1.72282576544406e-24,1.5940849295069,0.658,0.934,3.17740755920847e-20,"6","mt-Nd5"
"Ccnl1",3.5451426587814e-24,0.470182487299103,0.236,0.638,6.53830660559053e-20,"6","Ccnl1"
"Nfat51",9.2093185748322e-24,0.433129949493365,0.192,0.55,1.6984746247563e-19,"6","Nfat5"
"Zcchc7",2.99514004348942e-23,0.32584326725549,0.167,0.485,5.52393678220754e-19,"6","Zcchc7"
"Smg1",3.48744919082177e-22,0.300454238091599,0.122,0.399,6.43190254263258e-18,"6","Smg1"
"Rbm25",4.25374877758601e-22,0.410348301190404,0.31,0.789,7.84518887050188e-18,"6","Rbm25"
"Clk1",4.55939624323532e-22,0.457802208361805,0.266,0.674,8.40889449139891e-18,"6","Clk1"
"Luc7l2",5.96367414219397e-22,0.443464382735288,0.352,0.882,1.09988042204483e-17,"6","Luc7l2"
"Mdm4",1.2199607504158e-21,0.293972568285368,0.114,0.376,2.24997361199186e-17,"6","Mdm4"
"Rif1",1.36721857949464e-21,0.252577379611157,0.11,0.367,2.52156122616197e-17,"6","Rif1"
"Safb2",2.53030521011735e-20,0.251061960372214,0.093,0.326,4.66664189901942e-16,"6","Safb2"
"Gigyf1",2.58271134882704e-20,0.257380046681496,0.093,0.326,4.76329454064171e-16,"6","Gigyf1"
"Fosl21",3.47419311942912e-20,0.337209021581891,0.091,0.324,6.40745437016312e-16,"6","Fosl2"
"Pkp4",6.07656511621818e-20,0.283080558044031,0.076,0.29,1.12070090438412e-15,"6","Pkp4"
"Lars2",2.0165864392355e-19,1.98380078811917,0.601,0.786,3.71919036988203e-15,"6","Lars2"
"Kcnq1ot11",2.8392966247099e-19,0.557847331214716,0.219,0.557,5.23651476495246e-15,"6","Kcnq1ot1"
"Nktr",7.14425349421666e-19,0.553934372665891,0.327,0.791,1.31761467193838e-14,"6","Nktr"
"Dnm3os1",8.73870217375255e-19,0.503079700422844,0.124,0.378,1.61167884190518e-14,"6","Dnm3os"
"Pan3",2.95298927558582e-18,0.324044201181287,0.124,0.368,5.44619812096292e-14,"6","Pan3"
"Srrm2",1.06983898667673e-17,0.316452219780564,0.386,0.902,1.97310404312789e-13,"6","Srrm2"
"Ccnl2",5.91291054706939e-17,0.518502611586404,0.238,0.579,1.09051809219601e-12,"6","Ccnl2"
"Zfc3h1",1.11844615573327e-16,0.259398673412855,0.08,0.277,2.06275024501887e-12,"6","Zfc3h1"
"Zc3h7a",1.867879730378e-16,0.433292260147095,0.139,0.378,3.44493058673614e-12,"6","Zc3h7a"
"Cspp1",7.06473948730044e-16,0.513407928405794,0.141,0.384,1.30294990364282e-11,"6","Cspp1"
"Fosb",4.00975690734684e-15,0.557216043276832,0.302,0.646,7.39519466421978e-11,"6","Fosb"
"Paxbp1",9.87684467682547e-15,0.299168598017664,0.091,0.278,1.82158646374692e-10,"6","Paxbp1"
"Meg31",1.24306081853899e-14,0.492216932503826,0.333,0.702,2.29257706763145e-10,"6","Meg3"
"Prex21",4.96823169944992e-14,0.274110963309235,0.084,0.262,9.16290972329549e-10,"6","Prex2"
"Fry1",9.54076827011444e-14,0.280816454037608,0.08,0.251,1.75960389205721e-09,"6","Fry"
"Neat11",1.85148749245458e-13,0.683394405457818,0.264,0.583,3.41469838233397e-09,"6","Neat1"
"Nr4a1",2.20753647167538e-12,0.391878764092006,0.103,0.277,4.07135951471091e-08,"6","Nr4a1"
"Xist1",9.52747718025191e-12,0.513317036788171,0.325,0.618,1.75715261635386e-07,"6","Xist"
"Arglu11",2.7089352684779e-10,0.569503011512541,0.38,0.826,4.99608931565379e-06,"6","Arglu1"
"mt-Atp8",3.04446429353838e-05,1.39769370394337,0.502,0.735,0.561490549657284,"6","mt-Atp8"
"Dpt2",6.9843540180418e-194,1.18486141659713,1,0.539,1.28812441154745e-189,"7","Dpt"
"Pi151",1.27577769266987e-185,1.0400636280617,0.896,0.313,2.35291679859104e-181,"7","Pi15"
"Mdk3",6.14045396385661e-171,1.08302194945537,0.995,0.697,1.13248392455407e-166,"7","Mdk"
"Fmo21",5.43771290442893e-165,1.02350294452414,0.631,0.15,1.00287739096383e-160,"7","Fmo2"
"Apoe1",2.42191450130999e-159,1.52169091067279,0.995,0.65,4.46673691476601e-155,"7","Apoe"
"Tcf213",2.6439336654572e-148,0.906739052348269,0.911,0.417,4.87620685920271e-144,"7","Tcf21"
"Pdlim32",8.13228797024899e-148,0.926986031963756,0.967,0.514,1.49983787035302e-143,"7","Pdlim3"
"Postn3",1.54777383723892e-144,1.06300361715455,1,0.67,2.85455928801975e-140,"7","Postn"
"Qpct2",2.35167512206962e-142,0.709525868585376,0.904,0.403,4.337194427633e-138,"7","Qpct"
